No.	Title	Name	Rtg	FED	1.Rd	2.Rd	3.Rd	4.Rd	5.Rd	6.Rd	7.Rd	8.Rd	9.Rd	10.Rd	11.Rd	Pts. 	Rk.	TB1	TB2	TB3	TB4	TB5
66	GM	Martirosyan Haik M. 	2628	ARM	  8b½	  2w0	114b½	 13b0	 92w1	113w0	112b0	 80w½	100b½	102b1	107w1	5	85	2619	47	50	0	0
67	GM	Volokitin Andrei 	2628	UKR	  9w½	 11b0	 26b1	 24w½	 18w½	 25b0	 98w½	102b1	104w0	112b1	  3w0	5	76	2679	59	62.5	0	0
68	GM	Cheparinov Ivan 	2627	BUL	 10b½	 12w½	 14b1	  7w½	 16b½	 22w½	 17b0	105w½	 99b½	 18w0	115b½	5	74	2694	67.5	72.5	0	0
69	GM	Sjugirov Sanan 	2627	HUN	 11w½	 15b0	 27w0	116b1	102w½	110b1	 18w½	 30w½	115b1	 25b0	 36w½	5.5	62	2646	56	57	0	0
70	GM	Sargissian Gabriel 	2626	ARM	 12b½	 10w½	 22b½	 34w0	107b½	115w½	 13w0	111b½	102w1	  3b0	103w1	5	78	2660	55.5	59	0	0
71	GM	Anton Guijarro David 	2625	ESP	 13w1	 21b0	 19w½	 23b0	114w½	102b½	 27w1	 18b1	 25w½	 39b0	 38w½	5.5	52	2680	58.5	62	0	0
72	GM	Hakobyan Aram 	2625	ARM	 14b½	 20w0	 30b½	 37b½	 38w½	 13b½	 29w1	 34w1	 24b½	 48w½	 40b½	6	30	2684	58.5	63	0	0
73	GM	Dardha Daniel 	2624	BEL	 15w½	 17b0	 38b½	 14w½	 30b0	100w½	114b1	113w1	 40b½	 50w½	 46b0	5	80	2652	57.5	60.5	0	0
74	GM	Donchenko Alexander 	2624	GER	 16b0	115w½	 42b½	 30w½	 48b0	111w1	 37w0	 26b½	 27w1	  8b½	 35w1	5.5	59	2666	52	56	0	0
75	GM	Ponomariov Ruslan 	2622	UKR	 17w½	 19b½	 23w½	 27b½	 29w½	 33b½	 34w½	 37b½	 36w½	 41b½	 50b½	5.5	53	2678	58	62	0	0
76	GM	Demchenko Anton 	2620	SLO	 18b1	 34w1	  2b0	 10w½	 12b½	 16w0	 30b½	 44w1	 28b0	 40w0	  8w½	5	72	2709	63.5	68	0	0
77	GM	Santos Latasa Jaime 	2620	ESP	 19w½	 23b½	 29w½	 31b0	 37w½	 27b½	 45w0	 35b0	 80b½	113w1	 95b0	4	103	2662	50.5	53.5	0	0
78	GM	Svane Rasmus 	2620	GER	 20b½	 14w½	 12b0	 38w½	 42b0	 26b½	110w½	 27b½	 29w½	107b½	112w0	4	104	2659	55	59	0	0
79	GM	Aryan Chopra 	2619	IND	 21w0	 35b1	 31w½	 19b0	 41w½	 37b½	 62w½	 61b½	 47w½	 34b½	 45w1	5.5	58	2666	54	58.5	0	0
80	GM	Hammer Jon Ludvig 	2618	NOR	 22b½	 24w½	 32b0	 40w0	 50b0	103b½	 35w0	 66b½	 77w½	116w1	 92b½	4	105	2647	53.5	54.5	0	0
81	GM	Korobov Anton 	2616	UKR	 23w½	 25b0	 41w½	 45b0	 35w1	 38b1	 19w0	 62b1	 33w0	 64b0	 29w½	4.5	88	2670	57	61.5	0	0
82	GM	Shirov Alexei 	2616	ESP	 24b½	 22w½	 34b½	 44w½	 27w1	  9b½	 25w½	 31b½	 45w1	 33b½	 23w½	6.5	21	2685	59	63	0	0
83	GM	Mendonca Leon Luke 	2615	IND	 25w½	 27b1	 11w½	 12w½	 20b0	 29b1	 15w0	 33b½	 37w½	 36b½	 41w0	5	75	2692	61.5	65.5	0	0
84	GM	Xu Xiangyu 	2615	CHN	 26b½	 28w0	 46b0	 35b½	116w1	 41b0	 38w½	 29b½	 62w½	 44w½	 58b½	4.5	92	2661	51	52	0	0
85	GM	Najer Evgeniy 	2613	FID	 27w½	 29b½	 33w½	 39b0	 60w½	 47b1	 41w½	 45b0	 35w½	 38b0	 61w½	4.5	91	2661	51.5	55.5	0	0
86	GM	Mishra Abhimanyu 	2611	USA	 28b½	 26w1	 15w1	  1b½	  3w1	 32b½	  7b½	  6w½	 12b½	 11w½	 16b½	7	5	2731	69.5	73.5	0	0
87	GM	Maurizzi Marcandria 	2610	FRA	 29w½	 31b½	 37w1	 11b1	  5w1	  7w0	 16b0	 36b1	 15w0	 52b½	 33w½	6	29	2701	64.5	69	0	0
88	GM	Lagarde Maxime 	2609	FRA	 30b½	 32w½	 24b½	 46w½	 33w½	 34b½	 39w½	 41b½	 51w½	 37b1	 42w0	5.5	57	2666	60.5	65	0	0
89	GM	Matlakov Maxim 	2609	FID	 31w½	 33b½	 43w½	 29b½	 45w½	 39b½	 51w½	 46w0	 50b0	 61b½	 44w½	4.5	94	2658	55	59.5	0	0
90	GM	Predke Alexandr 	2609	SRB	 32b½	 30w1	 16b½	 17w0	 24b0	 50w1	 40b½	 48w½	 58b1	 46w1	 22b0	6	32	2676	63.5	68	0	0
91	GM	Ivanchuk Vasyl 	2608	UKR	 33w½	 37b½	 51w1	 16w½	 22b½	 23b0	 55w½	 39b0	 61w1	 45b1	 48w½	6	34	2668	59	63.5	0	0
